titulo,tipo,gestion,precio_venta,precio_renta,moneda,departamento,municipio,zona,direccion,habitaciones,banos,parqueos,niveles,area_construccion_m2,ano_construccion,descripcion
Casa colonial en Zona 10,CASA,VENTA,1850000,,GTQ,Guatemala,Guatemala,10,14 calle 3-25 Zona 10,4,3,2,2,320,2005,Hermosa casa colonial completamente remodelada con jardín y área de BBQ. Acabados de lujo.
Apartamento moderno Santa Clara,APARTAMENTO,RENTA,,8500,GTQ,Guatemala,Guatemala,14,Calzada Aguilar Batres 12-45 Zona 14,3,2,1,1,145,2018,Apartamento en condominio cerrado con piscina y gimnasio. Vista panorámica de la ciudad.
Terreno en San Cristóbal,TERRENO,VENTA,2200000,,GTQ,Guatemala,Mixco,San Cristóbal,Km 12 Calzada San Juan,,,3,,850,2010,Terreno plano en zona residencial consolidada. Ideal para proyecto de condominios.
Local Comercial Pradera Concepción,LOCAL_COMERCIAL,RENTA,,15000,GTQ,Guatemala,Guatemala,10,Vía 5 4-50 Zona 4,,,2,,220,2015,Local en plaza comercial de alta afluencia. Sobre avenida principal con gran visibilidad.
Casa en Antigua Guatemala,CASA,AMBAS,3500000,18000,GTQ,Sacatepéquez,Antigua Guatemala,,3a Calle Poniente 14,5,4,3,2,480,1920,Casa colonial restaurada en el corazón de la Antigua. Patio central con fuente. Certificada por IDAEH.
Apartamento en Vista Hermosa,APARTAMENTO,VENTA,925000,,GTQ,Guatemala,Guatemala,15,15 Avenida 14-08 Zona 15,3,2,2,1,168,2012,Apartamento en planta baja con jardín privado. Acabados modernos. Seguridad 24/7.
Oficina en Cayalá,OFICINA,RENTA,,22000,GTQ,Guatemala,Guatemala,16,Boulevard Rafael Landívar 7-01 Zona 16,,,3,,380,2019,Oficinas de primer nivel en Torre Empresarial Cayalá. Incluye sala de juntas y recepción.
Bodega en zona industrial,BODEGA,VENTA,4800000,,GTQ,Guatemala,Guatemala,12,Calzada Roosevelt 22-15 Zona 12,,,5,,1200,2008,Bodega con altura de 8 metros. Acceso para furgones. Subestación eléctrica propia.
Casa en Residencial Las Margaritas,CASA,VENTA,680000,,GTQ,Guatemala,Villa Nueva,Ciudad Real,Calle Principal 4-22,3,2,1,2,185,2016,Casa en condominio cerrado con portón electrónico. Área de piscina comunitaria.
Finca en San Juan Sacatepéquez,FINCA,VENTA,5500000,,GTQ,Guatemala,San Juan Sacatepéquez,,Km 28 Carretera a San Juan,,,2,,15000,1998,Finca cafetalera de 15 manzanas con vivienda principal y 3 casas de empleados. Nacimiento de agua.
Apartamento en Zona 13,APARTAMENTO,RENTA,,6800,GTQ,Guatemala,Guatemala,13,Avenida Hincapié 18-50 Zona 13,2,1,1,1,98,2020,Apartamento nuevo a 5 minutos del aeropuerto. Amueblado. Ideal para ejecutivos.
Casa en Oakland,CASA,VENTA,1250000,,GTQ,Guatemala,Guatemala,10,Avenida Las Américas 35-12 Zona 10,4,3,2,2,280,2001,Casa amplia en zona residencial exclusiva. Cocina integral remodelada. Cuarto de servicio.
Terreno en Quetzaltenango,TERRENO,VENTA,950000,,GTQ,Quetzaltenango,Quetzaltenango,,8a Calle 12-45 Zona 3 Xela,,,,,600,,Terreno plano en esquina sobre avenida principal. Uso mixto. Ideal para edificio comercial.
Local Comercial en Escuintla,LOCAL_COMERCIAL,RENTA,,9500,GTQ,Escuintla,Escuintla,,4a Avenida 5-20 Zona 1,,,1,,180,,Local sobre calle principal del centro. Apto para restaurante o tienda de ropa.
Edificio de Apartamentos Zona 7,EDIFICIO,VENTA,8500000,,GTQ,Guatemala,Guatemala,7,Calzada Aguilar Batres 35-10 Zona 7,,,8,,1800,2014,Edificio de 8 apartamentos (4 de 2 hab y 4 de 3 hab). Totalmente arrendado. Excelente inversión.
Casa en Chimaltenango,CASA,VENTA,420000,,GTQ,Chimaltenango,Chimaltenango,,3a Calle 2-15 Zona 2,3,2,1,1,140,2010,Casa de un nivel con terraza. Colonia tranquila. A 15 minutos de la autopista.
Apartamento en Miraflores,APARTAMENTO,VENTA,780000,,GTQ,Guatemala,Guatemala,11,Boulevard Miraflores 3-55 Zona 11,3,2,1,1,155,2009,Apartamento en Residencial Miraflores. Amplia sala-comedor. Cuarto de servicio independiente.
Oficina en Zona 4,OFICINA,RENTA,,12000,GTQ,Guatemala,Guatemala,4,7a Avenida 7-38 Zona 4,,,2,,210,2017,Oficina en torre corporativa zona viva. Modulable. Incluye acceso a área de coworking.
Bodega en Carretera a El Salvador,BODEGA,RENTA,,28000,GTQ,Guatemala,Guatemala,13,Km 9.5 Carretera al Pacífico,,,4,,2400,2005,Bodega logística con 4 dársenas de carga. Andén de descarga techado. 24/7 seguridad.
Casa en San Pedro Sacatepéquez,CASA,AMBAS,550000,4500,GTQ,Guatemala,San Pedro Sacatepéquez,,Aldea El Durazno Lote 15,3,2,1,2,165,2013,Casa en residencial privado a 20 minutos de la ciudad. Vista al volcán. Agua propia.
